timestamp,user_id,login_success,accessed_resource,activity_type,anomaly_label
2024-08-19 08:34:40,95,True,/etc/passwd,file_access,0
2024-08-21 20:42:22,100,False,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,login,0
2024-08-24 10:34:33,90,True,/var/log/system.log,file_access,0
2024-08-09 06:55:09,51,True,/etc/passwd,login,0
2024-08-19 18:42:35,81,False,/etc/passwd,file_access,0
2024-08-26 16:13:30,87,True,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,0
2024-08-27 13:07:15,33,False,/var/log/system.log,db_query,0
2024-08-30 15:09:20,48,False,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,1
2024-08-22 08:55:38,14,False,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,1
2024-08-28 02:43:39,21,True,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,login,0
2024-08-06 22:39:40,63,False,/etc/passwd,file_access,0
2024-08-05 15:14:35,30,True,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,0
2024-08-24 06:08:21,5,True,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,0
2024-08-11 12:03:08,2,False,/var/log/system.log,db_query,0
2024-08-11 00:34:57,81,False,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,db_query,0
2024-08-15 09:54:16,61,True,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,0
2024-08-03 10:45:24,76,True,/var/log/system.log,db_query,0
2024-08-03 22:22:33,65,True,/var/log/system.log,db_query,0
2024-08-02 21:21:32,46,True,/var/log/system.log,file_access,0
2024-08-15 02:46:27,45,True,/etc/passwd,db_query,0
2024-08-22 16:32:43,31,False,/etc/passwd,login,0
2024-08-21 01:35:39,3,False,/var/log/system.log,login,0
2024-08-24 16:53:47,32,True,/var/log/system.log,file_access,0
2024-08-13 03:27:38,17,True,/var/log/system.log,db_query,0
2024-08-10 11:21:52,44,False,/etc/passwd,file_access,0
2024-08-01 15:04:52,47,False,/var/log/system.log,db_query,0
2024-08-11 01:30:11,8,False,/etc/passwd,login,0
2024-08-28 21:00:19,100,False,/home/snowish/cybersecurity-ml-anomaly-detection/cybersecurity-ml-anomaly-detection/src,file_access,0
